istihdam_turu,gelir,fatura_odeme_skoru,kira_gecmis_ay,eticaret_aylik_ciro,kooperatif_uye_ay,sosyal_ag_skoru,geleneksel_onay,fairloan_onay
serbest,11927.060946352036,91,13,5792.979779851679,110,73,0,1
kooperatif,7846.239291920279,80,23,379.65960113715863,101,48,0,1
ev_kadinı,0.0,76,33,5640.238314616743,9,88,0,1
ev_kadinı,0.0,58,43,2520.9981855603205,26,37,0,1
formal,22980.84498644313,85,25,380.6496280147212,11,84,1,1
formal,25653.144780672803,72,20,1561.883836870049,6,76,1,0
formal,28111.130818049623,92,27,491.05859842116496,16,31,1,1
ev_kadinı,0.0,78,47,3374.372698960965,64,68,0,1
ev_kadinı,0.0,77,35,3982.751738104967,63,74,0,1
ev_kadinı,0.0,76,39,313.1013864946566,113,61,0,1
formal,20385.69472193845,56,1,1975.408132588979,25,94,1,1
kooperatif,12485.377137919044,85,41,4719.049386111909,14,67,0,1
ev_kadinı,0.0,65,8,7703.984316891074,114,40,0,1
formal,22779.94379530844,82,22,2017.5542886537453,32,39,1,1
formal,23903.847175432038,86,14,8403.73071228451,61,88,1,1
formal,20637.547443834796,59,12,2148.16176127975,100,84,1,1
formal,13090.918828771762,92,22,1403.3311315938959,46,49,0,1
serbest,18094.158887263675,64,16,5278.5936670204055,94,46,0,1
serbest,17578.953639823518,94,47,1901.7884880731194,34,97,0,1
formal,22734.02599296804,78,59,1787.728245064245,64,34,1,1
ev_kadinı,0.0,89,1,1887.0809030892847,71,89,0,1
formal,24301.458227511925,98,19,5252.5567568457,75,52,1,1
formal,26321.726479668447,77,19,4993.641503095026,117,75,1,1
serbest,9531.089500897102,71,58,1446.7867519026972,82,81,0,1
serbest,13148.315629287968,55,45,1135.1617176884363,24,39,0,1
ev_kadinı,0.0,85,2,1895.970038137497,56,75,0,1
formal,27574.191058298224,85,54,2381.228201912554,31,57,1,1
serbest,10609.987018907628,96,11,762.3037936498272,62,72,0,1
ev_kadinı,0.0,96,39,4423.0510760732805,11,55,0,1
formal,25321.01069474983,88,1,1866.12072591019,62,84,1,1
ev_kadinı,0.0,63,35,1138.295205044146,76,77,0,1
formal,17895.381879194676,76,13,316.311134683089,91,58,0,1
formal,26098.93492095087,67,15,764.1717250388525,0,56,1,0
kooperatif,9428.717035405032,79,18,8348.082600380616,50,47,0,1
kooperatif,6269.736368188981,72,33,1019.1632583376276,69,89,0,1
ev_kadinı,0.0,66,43,517.877280440965,7,98,0,1
formal,29241.32709505727,94,45,1728.811914725713,67,50,1,1
formal,20694.337904408778,71,5,1027.1853244908912,4,53,1,0
ev_kadinı,0.0,69,12,100.21820885786272,88,32,0,1
serbest,12164.116470449666,96,35,1092.8358846434548,85,91,0,1
formal,24902.561387539245,69,21,2199.401983066189,91,31,1,1
serbest,19020.230723000503,69,17,2246.496632343609,38,95,0,1
formal,19428.801814597213,93,11,1234.5894952680987,22,71,1,1
ev_kadinı,0.0,67,51,1660.2457397193812,67,63,0,1
formal,24277.559324315873,71,58,9428.483285164573,51,71,1,1
ev_kadinı,0.0,86,53,1326.5511565345507,3,49,0,1
formal,25929.674251487577,63,29,836.3929302171259,46,97,1,1
serbest,17425.869625421004,94,52,781.225712428775,20,74,0,1
serbest,15617.545443470288,74,50,1713.754218167548,100,71,0,1
formal,22348.37472412505,80,39,3990.3331199053373,55,76,1,1
kooperatif,7844.81955870256,81,6,645.8394221188252,104,34,0,1
ev_kadinı,0.0,75,31,3459.260417135245,65,78,0,1
kooperatif,9672.28776609275,72,47,59.85471881796667,58,66,0,1
ev_kadinı,0.0,67,18,1520.089682925379,6,63,0,0
ev_kadinı,0.0,70,5,4187.419658805743,48,99,0,1
ev_kadinı,0.0,63,19,1158.0730570510134,15,47,0,1
formal,19175.37444606477,66,26,2322.628669242715,16,48,1,1
formal,10853.922824274267,98,52,642.2837188247927,83,69,0,1
